PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
5773			
1501			
23629			
		1	
100594		320844	
			
56109		188303	
22672			
78781			
11123		69115	
6347			
17470			
		40006	
		288	
96251		297712	
			
44532		168738	
6463			
50995			
20895		77653	
10449			
3861			
35205			
		7	
86200		246398	
			
30908		133226	
6			
30914			
10		27279	
10			
		4	
30924		160509	
			
37967		177729	
37967			
23940		77289	
23940			
		15359	
61907		270377	
			
76146		193138	
76146			
9919		132991	
5934			
2343			
18196			
94342		326129	
			
57896		242439	
10638			
68534			
		31466	
		12523	
		5	
		2	
68534		286435	
			
17097		123206	
8736			
25833			
35102		101860	
54			
35156			
60989		225066	
			
48124		194869	
4270			
52394			
32043		98924	
32043			
		8	
		6	
84437		293807	
			
15530		133890	
12767			
2938			
1881			
8			
33124			
36647		130564	
36647			
69771		264454	
			
12126		148928	
5212			
3399			
20737			
31471		105348	
37			
31508			
		19	
52245		254295	
			
27409			
8874			
2967			
39250			
25280		129902	
16313			
3811			
45404			
		17045	
		2	
84654		303949	
			
35655			
9571			
6706			
51932			
15536		136032	
15373			
30909			
		21319	
82841		294385	
			
64419		177603	
1			
64420			
9344		124351	
3258			
12602			
77022		301954	
			
66709		205775	
66709			
16831		94162	
16831			
83540		299937	
			
45546		181789	
38889			
84435			
		112301	
84435		294090	
			
18652		153519	
8838			
6798			
34288			
46263		134623	
46263			
		10	
		9	
80551		288161	
			
87441		244467	
87441			
10211		85164	
4465			
14676			
102117		329631	
			
1401354		5058133	
			
			
42219		187743	
42219			
17164		91291	
11952			
29116			
71335		279034	
			
46873		134033	
17522			
64395			
11218		130113	
9519			
20737			
		3	
85132		273475	
			
74812		187872	
74812			
5985		92363	
1694			
1441			
1265			
1172			
966			
12523			
87335		280235	
			
73089		168688	
73089			
7018		93015	
5010			
12028			
85117		272268	
			
31185		194570	
30175			
23773			
11874			
4758			
1036			
869			
453			
104123			
13175		125347	
7692			
20867			
124990		333359	
			
32859		162613	
23276			
10913			
8446			
2346			
1679			
989			
917			
81425			
8278		96678	
7077			
5611			
3719			
2059			
26744			
108169		275253	
			
34782		162122	
2048			
1082			
586			
38498			
