PRIMARY	RUNOFF	GENERAL
		6781
33339		123082
65159		276978
1595		
69779		
40771		288301
20951		
		9539
30930		851543
29721		936410
30116		
31595		
71033		773620
86054		
		5951
47283		718730
32791		677023
79745		
2834		36946
5425		
7558		
5730		
31807		
79083		180136
40428		561169
80644		
46196		871364
24246		
33653		466983
20444		264591
70355		
78177		88387
12396		
		6788
32284		120682
30419		884307
90856		
		41
70619		894211
78668		748961
1		
23725		
4622		92622
1139		
63762		355262
49146		827285
37332		
		8
917		
935		
13271		309796
7067798		7166909
875655		2661439
43799		
437243		
177071		538649
60089		
6745		
764096		
4650		18275
3900		
7787		
40289		
		10624
		4205
		901
		51
		91
		6
		5
638198		2808355
13658		538358
12666		
83321		488651
5600		
79924		
		278
		7
96400		934473
		683
		210370
15234		134716
97943		
96966		33833
8931		
2767		
49056		
		565
29175		343355
28274		667044
53939		
8206		99719
2605		
26230		
		637
		6
89504		158597
24008		395050
52635		
86432		
8517		
550		
334		
822		
90835		
2774		21252
4383		
9095		17674
1051		
		8964
		849
75275		921602
		296
		402246
61757		348251
4831		
53508		
30514		42746
50413		
		9403
		810
46318		649522
		7106
		834
		818031
371055		6621472
36554	38939	478000
49119	70680	
60253		
38537		
38		
706546	99748	
		6263
108639	91883	640152
5724	6083	58847
4985	4793	
8179		
9320		
29606	3202	
71505	5601	238747
44435		600950
89701		
785		
97740		
67260		121371
		922780
8953		710532
5		
3297		
7556		989133
108580	6908	800792
956663		1021379
14416		
944540		
235974		3002356
67459		
81107		
6414		
5500		
477444		
4322		65657
9785		
		32747
		65
		58
315735		8413164
92399		184823
48857		
9695		18943
5859		
4105		
5541		
265		5289
482		
69635		128644
12177		431776
3466		
75095		
8325		506438
7952		
2636		
3653		
93583		
184		8647
575		
50584		971989
16200		346417
63129		
81975		
41460		80511
57270		
727		2621
116		
		1373
50905		132735
65213		575306
88422		
95583		26567
94979		
6792		
1409		
25988		
970		5942
520		
		7766
		50
88806		129172
43926		218397
55575		
68118		91557
89715		
887		9627
166		
42407		331481
49495		690671
31585		
85811		91377
99896		
179		9748
191		
		1981
87516		664297
87664		690917
4196		
2328		
6856		
85473		
7489		16232
5130		
8321		
15099		
456		1853
237		
		99
61005		648213
26889		413782
54357		
38889		37378
24906		
10075		
25266		
392		5939
547		
18862		991852
69077		476549
36037		
19673		11742
27747		
128		5446
417		
		4278
49169		122667
903042		8024942
91987		521734
97763		
6842		
9261		
790		
601172		
20254		272193
65115		
1075		
8508		
88124		
		90976
101869		203104
26616		791347
18324		
59532		867129
39870		
15752		
		2096
		9
774710		704658
766940		608637
54639		427526
98942		
405		
104		
516645		254168
82504		
41145		
465620		
6784		
9121		
748		
7902		
498157		892712
58820		842033
84860		
7863		
3249		
77253		16160
1312		
57830		
750		
955		
512		
511076		909922
48102		45499
70599		
27325		
42		
43		
858		
84567		78505
85158		
67		
83		
98459		836191
61060		978632
50448		
84328		
1456		
9007		
205298		
870		
901		
723		
38		
37		
453		
17356		45079
55986		
454		
371		
940976		709516
497504		592045
299048		552701
9231		
3964		
140347		
74280		891721
97851		
43981		
279458		
		6121
		5544
		4379
374494		977726
75633		87094
2111		
32794		
40316		30122
6902		
8267		
90556		
92224		326619
96320		614497
32799		
42266		
5699		
859		
75743		
58674		692278
44356		17849
2003		
4464		
2882		
1569		
11376		
44347		370422
122011		821988
77383		600232
6343		
1168		
6041		
346		
80		
79		
2		
92810		
90111		69366
2711		
22		
13		
72		
60		
1		
4		
56728		
		544
69189		227249
93006		709513
844		
328		
89		
2		
34865		
62012		66048
3859		
6941		
69		
34		
45004		
		9101
		649
65115		804165
15508		202626
955401		6200464
90740		
637987		
728749		286192
36393		
796712		
		56888
		73129
		4623
		7511
		3229
		7720
		4669
757754		5890060
39148		950110
82326		
84688		990590
53460		724869
88460		
3635		55785
6701		
9174		
		2029
		828
		795
		808
19577		660593
22468		667818
41243		
3970		67532
9350		
		5973
85143		502741
66404		847942
11903		
9373		64803
9538		
		6785
		164
68294		991660
57490		649217
5417		
52604		
1517		85804
5137		
60885		
		5517
67593		402115
50414		78224
70723		
6807		75966
2509		
		7398
54125		536961
89578		89531
81267		
2963		84275
4186		
		1376
		9021
18047		815025
23058		32414
98042		
6962		35016
1394		
		1043
99034		896571
78615		704288
92324		
6967		40419
2787		
		4161
78683		478047
31785		90978
42125		
32646		50929
82819		995069
25642		
9458		26261
1564		
		9530
		765
11842		104059
12287		156537
95951		
5767		34908
7385		
59759		780348
78728		35719
1611		
68229		
6323		96996
8722		
		5041
		394
		198
		377
47118		13980
911043		7916332
52451		55105
7916		
63326		
		5843
88318		56758
542577		562723
465143		
25766		735444
75283		
70010		
48949		
		171
531685		939610
42023		608759
45045		
80938		606511
90336		
94941		197527
11036		55770
53053		
16784		77135
68561		
		418
22478		269152
10215		926910
40638		
81811		84552
13456		
49456		983018
785673		195018
140198		7532876
351924		
671942		
371111		3185506
56808		
915035		
		36692
		30779
		1008
		3998
883444		6810044
		671524
		399951
82098		67184
3560		
83996		
34614		561440
		311385
		25210
		21107
		77411
		778863
		65546
68664		55954
49412		
8863		
2		
5		
2		
8		
5		
3		
1		
1		
78032		
84095		89505
69537		87890
17916		
58183		
2379		
1		
33724		
		69184
		448
		187
11325		21102
		30014
672		6378
773		
8		
7		
209		
402		104695
		659812
		240403
		45221
32952		3200
4640		
52924		
52466		877887
1463		7273
5804		
6461		
9923		677701
91799		200593
1630		
3822		
4615		
56601		
22708		599934
		579195
59212		191556
4343		
60591		
60375		775318
		748141
		671018
		7597
		303386
30		9202
74		
55		
83		627911
111		5941
575		
7008		
9003		720132
		322648
		723530
		604438
542184		2497833
		41550
		618188
		297531
62818		691850
6767		
2438		
52688		
81726		524168
5302		73087
3775		
6271		
8815		
49199		
44565		252544
		817084
		465170
76602		10763
7965		
9269		
9712		
14142		
18337		973366
		286448
		236639
78661		592332
10180		
10208		
25517		404847
2555		
47383		
62530		915462
		106394
9045		33390
2164		
5642		
5268		
2493		667510
262313		1810702
57513		310314
55247		
70634		76317
30799		
		7619
		5326
96794		876257
14539		855361
24642		
40534		18981
60475		
46721		583444
34662		174524
559325		1683477
755316		
319702		
692580		7823076
195943		
204543		
845823		
1694572		8074494
93732		301580
48273		
23259		29179
53763		
34327		501243
59599		990441
20815		
7624		
9737		
35118		
10766		342599
3219		
3534		
4933		
9561		
39578		
		529
		84
47416		868073
16247		219732
17253		
65472		
9099		
9672		
63081		
87323		811358
94056		199229
77309		
9230		
6992		
6827		
9336		
71985		
84325		92318
81852		
701394		466188
17919		811384
31653		
36847		47279
21322		
32712		619991
49225		744116
16700		
5711		
91067		
78568		94976
8407		
1409		
3581		
47112		
301761		754734
55304		385556
16508		
40528		42165
40912		
20287		623666
