PRIMARY	RUNOFF	GENERAL 		
2987				
20953	30206			
20953	30206	170877		
				
10145		54609		
2365				
12510				
		8962		
12510		168794		
				
14031		122033		
1744				
15775				
		33279		
15775		155312		
				
		211184		
				
				
73501	30206	1035947		
				
				
85225		715415		
6841				
5232				
97298				
77809		476572		
19521				
12853				
110183				
1530		13957		
953				
2483				
		9973		
		9190		
		8167		
		7474		
		5734		
		4810		
		4043		
		3780		
209964		1264994		
				
57799		169114		
57799				
44440		128501		
44440				
		20		
		22		
102239		297657		
				
45628		147042		
45628				
42454		119669		
42454				
88082		266711		
190321		564368		
				
46227		155118		
22409				
68636				
42762		120400		
42762				
		242		
		158		
		18		
111398		286812		
				
42262		134133		
7405				
3841				
3575				
57083				
10427		69523		
5904				
2633				
2593				
1067				
22624				
		158		
79707		208904		
				
54710		147448		
5456				
2989				
1425				
1307				
65887				
8856		86947		
6906				
6597				
2215				
24574				
		188		
90461		241429		
				
56737		160228		
5972				
2833				
2355				
67897				
6828		31467		
6828				
		325		
74725		192020		
				
58717		155110		
6682				
3147				
68546				
16773		83575		
9001				
1631				
1530				
28935				
		120		
97481		241383		
				
49056		148820		
11124				
4822				
3860				
1379				
70241				
21605		80455		
11449				
33054				
		191		
103295		242189		
				
59649		152669		
5884				
65533				
7306		46375		
3982				
1766		20		
13054				
		135		
		55		
78587		203068		
				
57847		153613		
4392				
62239				
4717		52421		
4665				
3073				
2242				
14697				
		224		
76936		209667		
712590		1825472		
				
396252		1140531		
36194				
15335				
11049				
8092				
7684				
6911		80		
481517				
93490		655666		
74404				
14270				
13869				
9517				
8611				
8265				
6738				
6011				
5161				
2981				
243317				
		1644		
		204		
		110		
		84		
		56		
		14		
		6		
724834		1833858		
				
43363		128011		
199				
43562				
13354		74418		
69				
13423				
		10880		
		55		
56985		213364		
				
31053		122751		
416				
31469				
10780		91209		
8403				
40				
19223				
		164		
50692		214124		
				
32108		122708		
275				
32383				
6963		85124		
5584				
3701				
3139				
2864				
125				
22376				
		9388		
		132		
54759		217352		
				
39974		126194		
10289				
83				
50346				
11797		101517		
7782				
79				
19658				
		3445		
		2873		
		98		
70004		234127		
				
29773		122858		
326				
30099				
11384		94646		
7601				
6143				
4351				
50				
29529				
		4387		
		1991		
		147		
59628		224029		
				
28136		142732		
530				
28666				
20765		107930		
6345				
109				
27219				
		419		
55885		251081		
				
35573		145696		
435				
36008				
9382		73467		
7302				
75				
16759				
		194		
52767		219357		
				
32198		134974		
345				
32543				
		2686		
650				
178				
828				
33371		137660		
				
42527		157071		
23109				
88				
65724				
10261		59965		
6026				
135				
16422				
		12572		
		356		
82146		229964		
				
29953		132743		
28656				
208				
58817				
31851		120029		
16060				
2364				
2237				
82				
52594				
		16705		
		10445		
		3084		
		191		
111411		283197		
627648		2224255		
				
27077		120523		
27062				
5418				
4980				
3969				
2490				
70996				
27996		94824		
27996				
		7847		
98992		232037		
				
27041		148864		
26378				
23226				
20584				
4517				
2401				
2332				
106479				
12375		72118		
8272				
20647				
127126		228078		
				
38569		133714		
25157				
22715				
5133				
4020				
95594				
14114		83953		
6480				
20594				
116188		224063		
				
76619		148531		
76619				
20951		68458		
20951				
97570		224354		
				
34902		107286		
9596				
44498				
22177		89680		
17643				
39820				
84318		202263		
				
42182		123142		
31660				
73842				
18060		66729		
18060				
				
91902		198696		
				
41784		113185		
23505				
7413				
72702				
23806		102402		
23806				
		21		
96508		225669		
				
78047		156931		
19		2		
78066				
1703		84069		
26653				
28356				
		11		
106422		244894		
				
37843		125730		
37843				
33459		119325		
22298				
15949				
8006				
79712				
		1866		
		644		
117555		252650		
				
84426		168364		
84426				
23310		58530		
23310				
107736		233930		
				
65688		141224		
65688				
27295		91710		
27295				
92983		238287		
				
42732		124671		
13480				
56212				
33823		71372		
33823				
90035		204117		
				
22573		100885		
19507				
2038				
1872				
893				
820				
47703				
10153		23462		
10153				
		881		
		1		
57856		127076		
				
44902		115511		
44902				
7435		29902		
5978				
13413				
58315		150478		
				
40642		118336		
40642				
18358		83488		
11946				
4488				
1374				
36166				
		9		
76808		208309		
1420314		3194901		
				
		3054		
		102		
		248005		
				
16151		181341		
16151				
19990		104809		
16528				
36518				
		303		
52669		286453		
				
		167		
		274092		
				
55491		136746		
8622				
64113				
6949		80141		
3392		10		
10341				
1550		14207		
1550				
		283		
		39		
76004		231426		
				
55424		154833		
7963				
4575				
67962				
4975		55222		
4975				
		8548		
1202		7446		
1202				
		2468		
		229		
74139		228746		
				
17237		159476		
17237				
28185		120846		
12603				
40788				
1418		17698		
1418				
		5490		
		178		
		3		
59443		303691		
				
42104		133096		
42104				
11417		90652		
7315				
18732				
		9317		
2242		7839		
2242				
		193		
63078		241097		
				
26608		133490		
26608				
56510		129091		
13710				
70220				
2515		11876		
2515				
		2492		
		132		
99343		277081		
424676		2090591		
				
20236		121074		
12894				
5924				
39054				
		2180		
		2020		
		1882		
		478		
39054		219093		
				
2232	2230			
2231	3126	64499		
1957				
6420	5356			
		1530		
6420	5356	171356		
				
3805		60737		
2138				
1328				
7271				
7271		194716		
				
15556		105613		
11663				
27219				
27219		203384		
79964	5356	788549		
				
37041		135907		
8546				
45587				
10305		43649		
4532				
1467				
16304				
150		5223		
141				
291				
62182		184779		
				
72269		180481		
9494				
3692				
85455				
24227		77467		
24227				
562		7677		
562				
		7		
110244		265632		
				
36976		99398		
6467				
2697				
46140				
22266		94757		
7478				
5379				
35123				
418		5772		
418				
277		3155		
277				
		3		
81958		203085		
				
35860		113489		
26573				
7969				
4259				
3702				
3197				
2658				
2484				
1928				
