PRIMARY	RUNOFF	GENERAL 
35686		
38		
38		
302		
302		
103		
103		
		2722
36129		188252
40332		242166
468		
40800		
4		
4		
587		
587		
6		
6		
		3128
41397		245294
45587		272899
722		
46309		
7		
7		
856		
856		
2		
2		
		3774
47174		276673
428426		2605114
342446		1971974
154395		
538		
497379		
51788		926044
1043		
52831		
168		
168		
326		
326		
		3516
550704		2995247
51114		213216
51114		
17433		107340
10718		8
9565		
37716		
88830		327836
53322		214100
53322		
20617		119506
20617		
		7
73939		343309
49698		203799
49698		
13664		117961
13664		
63362		333518
57136		204259
57136		
23441		117665
23441		
80577		329764
41697		221841
41697		
14682		85017
14682		
56379		315295
47753		188157
47753		
13657		123257
13657		
61410		319646
17270		157213
9034		89
26304		
39314		149781
39314		
65618		322286
45850		204408
45850		
25963		145491
25963		
71813		361607
41978		183311
41978		
49940		150035
49940		
91918		351963
66003		230471
66003		
25040		108354
25040		
91043		347603
43303		177461
43303		
25924		156625
9635		
35559		
		23
78862		345182
58763		225094
58763		
18561		74565
18561		
77324		312344
21089		167481
19303		
13471		
53863		
7016		43098
7016		
60879		225922
51511		227841
51511		
51511		246588
51306		231784
51306		
11160		81802
11160		
62466		327827
1075931		4810690
561676		3038386
561676		
495467		1641070
495467		
1057143		4848620
20998		207753
20998		
17196		109453
8480		
25676		
1043		14904
1043		
		290
47717		332400
		597
		41
		1
		385656
14187		178932
14187		
20830		150787
20830		
674		38970
252		
926		
		406
		9
35943		369104
		814
		1
		316018
33988		228776
6251		
40239		
5284		71020
5284		
828		22318
828		
		633
46351		322747
19127		187817
3134		20
22261		
17474		175786
17474		
828		40643
828		
		459
40563		404725
21791		227187
21791		
7698		87062
7172		
14870		
		431
36661		314680
		582
		357284
207235		2802614
164136		1212629
74655		
3923		
3152		
3095		
1227		
1017		
251205		
130973		1212317
12456		
143429		
6678		437505
1405		
800		
761		
639		
618		
440		
11341		
		2340
		13
		12
405975		2887646
40919	20797	185959
30274	15958	
12913		
10624		
4095		
98825	36755	
16161	16733	149818
17082	16196	
10688		
43931	32929	
		1876
142756	69684	341389
110743		201606
17791		
128534		
128534		291970
18892	29351	213171
22254	22178	
17082		
6949		
748		
424		
344		
66693	51529	
43539		127698
38034		
81573		
148266	51529	340869
79807		216542
79807		
79807		290519
499363	121213	1264747
236022		480915
122729		
358751		
358751		1247026
358751		2490499
41517		242570
41517		
130		36700
130		
41647		279270
46877		232276
46877		
9018		132068
6007		
5059		
4690		
4557		
29331		
211		8628
211		
		7
76419		372979
38020		202470
38020		
7923		92759
5963		
2576		
2532		
18994		
224		5518
224		
57238		305071
37111		200009
37111		
31979		103446
10324		
5568		
47871		
84982		303455
38260		197249
38260		
9294		109166
3552		
2647		
1641		
17134		
55394		306415
36131		196526
36131		
36712		121894
6714		
43426		
225		12279
225		
79782		330699
64767		219016
64767		
11973		91010
3439		
15412		
199		6971
199		
		6166
		49
80378		323212
35418		72790
35418		
51801		198798
51801		
126		4443
126		
		2257
87345		278288
21543		161031
15752		
10609		
5501		
890		
54295		
22498		152956
15864		
6565		
6060		
50987		
250		8108
250		
105532		322095
668717		2821484
90492		308470
90492		
70176		155930
59768		
12598		
142542		
233034		480900
233034		480900
165050		348289
165050		
26936		129369
17044		
15507		
7632		
4257		
2788		
74164		
239214		477658
45958		184923
45958		
662		
662		
26332		77897
26332		
786		
786		
73738		262820
23054		142473
4246		
27300		
92		
42		
134		
20937		131901
5059		
25996		
260		
72		
332		
53762		274374
55129		183117
7918		
63047		
96		
29		
125		
17668		55087
6110		
23778		
91		
32		
123		
87073		238204
214573		775398
111455		455854
31271		
142726		
736		
289		
1025		
64468		317456
23617		
3179		
2629		
93893		
1114		
524		
45		
43		
1726		
123		11438
123		
86		
86		
92		7763
92		
31		
31		
239702		792511
19444		154860
2222		
21666		
4359		64837
2490		
1847		
1137		
1090		
896		
761		
12580		
34246		228922
43112		170771
7009		
50121		
50121		329520
22232		165912
2312		
1114		
587		
26245		
21955		147940
3030		
1911		
26896		
53141		349812
137508		908254
20839		176435
162		
127		
89		
21217		
18559		156338
16766		
534		
414		
46		
43		
36362		
		198
57579		341071
22638		188332
151		
59		
56		
46		
18		
22968		
12726		138222
10771		
4582		
2974		
547		
111		
61		
31772		
		229
54740		333904
112319		674975
42968		358438
5281		
235		
172		
48656		
60852		314403
7084		
517		
165		
3		
68621		
		
		430
117277		694787
32108		
2222		
4342		
38672		
5873		74001
1266		
7139		
45811		285157
16026		167701
2025		
18051		
16465		110990
16465		
34516		283965
18130		166390
18130		
12694		153122
6531		
6494		
25719		
43849		319512
16818		202972
16818		
13114		100036
13114		
29932		306551
19914		172653
19914		
9390		131033
4861		
1114		
15365		
35279		309007
18609		164077
18609		
3698		77469
1946		
1062		
6706		
25315		245077
15776		124818
15776		
10094		148461
5052		
3902		
3211		
1845		
1232		
241		
25577		
41353		295628
19948		159279
19948		
5859		63107
5859		
25807		223986
25418		151182
25418		
5797		69503
5797		
31215		223885
30764		169945
30764		
30764		171793
24304		189696
3731		
28035		
10885		113510
2456		
2271		
15612		
43647		306732
23653		193732
23653		
9718		108400
9718		
33371		306934
26527		120382
26527		
1739		34735
1739		
28266		159753
449125		3437980
203012		1951218
121777		
19743		
344532		
84663		1461025
74546		
25576		
184785		
529317		3482445
22341		166271
12660		
12074		
4273		
51348		
37060		132485
8246		
45306		
96654		298756
20281		129572
18597		
38878		
11510		101980
7486		
7341		
6468		
3614		
36419		
75297		231552
26775		161292
16497		
10148		
7234		
1979		
1845		
64478		
14767		86618
12632		
27399		
91877		284258
263828		814566
141629		505128
141629		
57953		318522
55039		
112992		
254621		823650
		13
		277641
		12
		240932
6847		149344
897		
7744		
		4
7744		270303
		1
		256271
		5
		158778
		26
		141206
		5
		139941
		24
		199861
		6
		120589
24405		155090
11558		
6		
35969		
		14
35969		164669
		17
		181740
		8
		136809
12805		107640
3992		
128		
16925		
4206		62441
2702		
609		
7517		
		40
24442		187446
		2659
		25
		229308
		15
		198691
		2
		131669
		20
		202321
		22
		255311
		15
		280994
		35
		311717
15932		11437
40336		
8589		85267
12194		
		22
52530		275872
		34
		253718
		25
		218925
		13
		251692
		24
		287099
9792		109615
23894		
		9
23894		270335
		249545
		33
		221378
		27
		275755
144579		6390516
		274271
		298430
23699		201686
16491		
40190		
54366		104364
24181		
78547		
118737		306050
23373		153947
9756		
33129		
33129		419698
40101		136103
39624		
79725		
79725		326923
42687		108873
19817		
7294		
69798		
69798		329891
		312855
		283819
51402		241053
4370		
55772		
45329		138719
32197		
77526		
133298		386483
34457		171774
16892		
51349		
41076		126699
27216		
68292		
119641		298473
19678		122087
17266		
3911		
40855		
40855		340716
		301722
113254		221379
14744		
127998		
127998		335762
723181		4215093
801920		2249311
239623		
170970		
62136		
60403		
1335052		
460665		1887510
