PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
1462		179091		
				
		109		
		204173		
				
		114		
		204329		
				
16489		79615		
10620				
27109				
		141		
27109		174668		
				
16119		113574		
14000				
30119				
		2081		
30119		131932		
				
		109		
		183481		
				
		444		
		199222		
				
		236		
		192971		
				
		5		
		166124		
				
		59		
		203645		
				
191607		3651707		
				
60847		154333		
14147				
74994				
5519		55990		
5232				
10751				
85745		210323		
				
21412		122128		
15045				
36457				
11678		85479		
11288				
5616				
28582				
65039		207607		
				
22616		139415		
20024				
1798				
44438				
44438		205597		
				
		227362		
				
49572		139279		
16175				
65747				
8010	2748	88973		
6417	1443			
5618				
4189				
24234	4191			
89981	4191	228252		
				
11123	18965	147312		
15127	12722			
5055				
5043				
3494				
1899				
1427				
510				
458				
44136	31687			
19066		103758		
14882				
33948				
78084	31687	251070		
				
23010		134431		
17389				
3000				
43399				
21966		84054		
15741				
37707				
		163		
		6		
81106		226504		
				
		187422		
				
29505		163080		
14146				
43651				
		8219		
		2369		
43651		173668		
				
29400		133504		
8273				
37673				
37673		218796		
				
16819		85342		
14272				
31091				
31091		230024		
				
15235		130096		
8180				
4342				
2856				
1775				
1733				
502				
34623				
8652		42568		
2439				
11091				
45714		172664		
				
14967		127668		
7495				
4431				
2984				
2034				
1939				
33850				
33850		169246		
				
24631		114718		
6308				
4052				
34991				
34991		268709		
				
671363	35878	2977244		
				
				
50188		138100		
151				
50339				
30102		95678		
52				
30154				
1548		14531		
7				
1555				
		361		
82048		248670		
82048		248670		
				
		8549		
		4547		
		13096		
		13096		
				
31953		124779		
31953				
7369		72604		
5814				
13183				
45136		197383		
				
37134		132658		
37134				
4812		68453		
3995				
3974				
3416				
16197				
53331		201111		
				
25151		91769		
25151				
10045		51475		
7032				
17077				
		17		
42228		143261		
				
47967		125907		
47967				
1471		60165		
1471				
49438		186072		
				
42288		134449		
42288				
16460		58507		
16460				
395		9344		
395				
59143		202300		
				
30799		111026		
30799				
22359		73561		
8292				
30651				
29		6065		
29				
61479		190652		
				
32839		143959		
32839				
32839		143959		
				
47261		126539		
15030				
3812				
66103				
8911		51534		
7399				
16310				
60		10257		
60				
82473		188330		
				
32464		108870		
32464				
9587		51704		
3686				
13273				
		112		
		29		
45737		160715		
				
32550		130752		
8214				
40764				
9645		63249		
7655				
17300				
221		6605		
221				
58285		200606		
				
55088		137105		
55088				
8839		35461		
8839				
63927		172566		
				
46186		150573		
46186				
18259		61360		
18259				
155		9148		
155				
64600		221081		
				
45585		120230		
8016				
53601				
351		55233		
351				
		86		
53952		175549		
				
27547		135736		
22546				
50093				
23533		70856		
23533				
259		7988		
259				
73885		214580		
				
36569		128496		
3999				
40568				
18336		66125		
18336				
58904		194621		
				
37040		132176		
37040				
14635		75199		
10575				
25210				
62250		207375		
				
907607		3000161		
				
				
				
26245		110925		
6673				
32918				
33119		38964		
19813				
52932				
		8518		
85850		158407		
				
54847		133335		
7925				
3449				
66221				
66221		169605		
				
40790		117721		
